year,Re,Com,Ind,Trans,Electric,Total,Road_len,AVG_T,Precipitation,Average retail price of electricity,Personal consumption expenditures, Goods,  Durable goods,   Motor vehicles and parts,   Furnishings and durable household equipment,   Recreational goods and vehicles,   Other durable goods,  Nondurable goods,   Food and beverages purchased for off-premises consumption,   Clothing and footwear,   Gasoline and other energy goods,   Other nondurable goods, Services,  Household consumption expenditures (for services),  Housing and utilities,  Health care,  Transportation services,  Recreation services,  Food services and accommodations,  Financial services and insurance,  Other services, Final consumption expenditures of nonprofit institutions serving households (NPISHs), Gross output of nonprofit institutions, Less: Receipts from sales of goods and services by nonprofit institutions,pop,gdp,PRICE_E,CLACD,CLCCD,CLICD,CLRCD
1960,0,0,0,0,0,0,0,61.21311512,15.6525841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15870,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,60.50936098,13.0475879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16497,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,59.72401877,21.80558248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17072,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,59.23976975,22.32538456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17668,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,60.65203991,15.35406991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18151,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,60.72740784,15.37258092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18585,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,62.6962883,13.73251666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18858,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,61.41133509,20.15987287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19176,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,61.30869618,15.11591713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19394,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,61.76879502,25.6977076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19711,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,62.57060814,22.50454538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20007,0,0,0.63,0.63,0.43,1.31
1971,0,0,0,0,0,0,0,60.55483065,10.6486349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20346,0,0,0.53,0.53,0.47,0.85
1972,0,0,0,0,0,0,0,61.08536902,14.19109993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20585,0,0,0.61,0.61,0.52,0.9
1973,0,0,0,0,0,0,0,61.97103529,27.98943665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20869,0,0,0.59,0,0.61,0
1974,0,0,0,0,0,0,0,62.27264691,19.83338823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21174,0,0,1.02,1.02,1.29,1.52
1975,0,0,0,0,0,0,0,61.69908762,15.24858367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21538,0,0,0.92,0,1.32,0
1976,0,0,0,0,0,0,0,63.89710598,6.74677638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21936,0,0,1.16,0,1.43,0
1977,0,0,0,0,0,0,0,61.58124981,11.50012244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22352,0,0,1.26,0,1.47,0
1978,0,0,0,0,0,0,0,61.90675326,24.12946887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22836,0,0,0,1.4,1.59,3.42
1979,0,0,0,0,0,0,0,62.416918,22.74931079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23257,0,0,0,1.6,1.69,4.87
1980,30.4,20.2,65.9,170.9,61.1,348.4,0,61.78793526,21.29572773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23801,0,0,0,1.82,1.91,5.13
1981,28,21.5,58.8,169.3,59.4,337,0,63.58371239,23.66665131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24286,0,0,0,2.06,2.16,5.43
1982,30.8,18.7,52.3,160.3,37.8,299.9,0,60.43977804,32.51247557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24820,0,0,0,2.31,2.19,5.68
1983,28.7,16.2,55,161.8,31.4,293,0,62.72886019,37.02476339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25360,0,0,0,2.37,2.37,4.62
1984,27,15.7,72.3,170.2,34.3,319.5,0,63.16402435,11.85546505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25844,0,0,0,2.39,2.39,4.63
1985,30.3,14,70.7,169.5,39.6,324.2,0,61.02928982,13.90930491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26441,0,0,0,2.25,2.25,4.54
1986,26.6,14,66.3,175.2,27.4,309.5,0,63.05396967,21.97592966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27102,0,0,0,0,2.26,0
1987,28.6,15.9,73.6,184.7,37.2,340.1,0,62.56491327,17.39134437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27777,0,0,0,2.09,2.09,3.76
1988,28.5,17.6,70.1,195.4,36.6,348.2,0,63.30005742,12.73653739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28464,0,0,0,1.94,1.94,3.37
1989,29.8,17.8,69.8,201.8,44.2,363.5,0,61.61808748,15.57654838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29218,0,0,0,1.93,1.93,3.66
1990,29.5,19,71.8,203.2,40.4,363.9,0,62.99101887,14.94413567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29960,0,0,0,2,2,3.77
1991,29.3,19.1,72.8,192.5,38,351.7,0,62.85626641,15.55314643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30471,0,0,0,1.97,1.97,5.21
1992,27.2,17.4,73.7,192.2,45.6,356.1,168378,63.86604815,20.02138371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30975,0,0,0,1.83,1.83,3.76
1993,28.8,15.5,70.6,188.5,42,345.5,169201,62.5429432,24.81603444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31275,0,0,0,1.85,1.85,3.77
1994,29.4,15.9,70.7,197,49.5,362.4,169047,62.21820193,15.9725091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31484,0,0,0,1.87,1.87,3.74
1995,26.8,17,69.3,201.2,37.1,351.4,170389,63.68724909,28.81795907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31697,0,0,0,1.76,1.76,3.77
1996,27,14.7,71.6,204.4,32.8,350.5,170506,64.55236063,24.08961471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32019,0,0,0,1.7,1.7,4.03
1997,26.8,15.3,76.3,198.8,35.8,353,170601,64.8106226,18.43940757,0,677272,222759,81358,28051,17482,25753,10072,141401,54704,30605,14605,41487,454513,444546,147250,93489,28607,23936,43509,53174,54581,9967,55721,45754,32486,1343127,0,0,1.74,1.74,3.71
1998,32.3,17.8,74.5,199.6,39.4,363.4,165951,61.84614478,28.85947308,0,718337,235441,90477,32091,19250,28178,10958,144964,55815,32079,12936,44133,482896,472516,156293,97337,30128,24630,46626,58757,58744,10381,57986,47605,32988,1421713,0,0,1.78,1.78,3.66
1999,32,14.9,72.8,204,43.3,367,168077,61.42689276,11.82025682,0,774796,258549,102112,36771,21950,31334,12057,156437,59877,33906,14059,48595,516247,503693,164942,99699,32231,28322,48742,64241,65515,12555,63098,50544,33499,1525588,0,0,1.73,1.73,3.69
2000,27.6,14.4,72.5,215.1,52.9,382.4,168077,62.34950056,24.9795317,0,845268,286219,115590,39260,24980,38075,13275,170629,63640,36131,17470,53387,559050,543488,175911,104679,35631,30084,53020,71894,72270,15561,70165,54604,33988,1638988,0,0,1.66,1.66,3.72
2001,28.7,14.8,74.5,211,57.8,386.9,168770,63.42696495,22.16978672,11.22,886864,296732,120491,42532,26737,38338,12884,176242,67425,35046,17059,56711,590132,571020,189712,109988,35906,31530,55069,70963,77851,19112,78995,59882,34479,1627983,11.22,0,1.61,1.61,3.48
2002,28.7,14.2,76.3,223.2,43.7,386.1,167898,62.70501728,16.11512718,12.19,925942,308514,126045,45754,28025,38386,13880,182470,70157,36426,16866,59020,617427,594466,196880,118708,35215,32470,57498,72900,80794,22961,88636,65674,34872,1669677,12.19,0,1.64,1.64,3.87
2003,28.4,14,75.6,213.2,42.7,373.8,169548,63.32759533,15.31947644,11.78,974112,323161,130397,46172,29293,39918,15014,192764,73412,37285,19425,62641,650951,628551,205316,127468,36171,35768,61124,76635,86068,22400,91473,69073,35253,1745049,11.78,0,1.68,1.68,3.77
2004,29.4,14.1,79.7,222.7,46.3,392.3,169793,63.21133509,18.67017766,11.35,1041971,347457,140329,47770,31550,44171,16837,207128,76393,41217,23730,65789,694514,673713,216833,137065,38150,39683,66558,82881,92543,20800,93954,73154,35575,1832792,11.35,0,1.76,1.76,3.61
2005,28.2,14.2,76.3,228.6,41.9,389.3,169906,63.05404434,23.00273223,11.63,1110953,369138,148430,49020,33893,47200,18317,220708,80693,43626,27671,68718,741814,720841,232671,146451,41195,42169,71462,89586,97307,20974,99767,78793,35828,1910337,11.63,0,2.12,2.12,3.56
2006,28.4,14.4,75.2,233,46.5,397.5,170290,0,0,12.82,1181349,386767,152930,46988,35479,50818,19645,233838,85137,43152,31330,74218,794582,769920,250535,155222,44257,45098,77017,94192,103599,24662,106791,82129,36021,1975457,12.82,0,2.39,2.39,3.73
2007,28.6,15.1,73.2,235.6,50,402.5,171154,0,0,12.8,1246312,400369,154155,45553,34834,52473,21294,246214,90972,43909,33305,78028,845944,815744,264027,167091,46667,48006,82061,98759,109134,30200,120747,90547,36250,1999340,12.8,0,0,2.81,0
2008,28.8,15.6,70.6,219.7,50.9,385.7,172512,0,0,12.49,1270929,393015,139577,37147,31555,49849,21026,253438,94050,42894,37851,78642,877915,844673,277968,178216,45598,48230,84659,97655,112347,33242,129649,96407,36604,1993244,12.49,0,0,2.96,0
2009,28.3,15.6,66.4,213.8,47.8,372,171874,0,0,13.24,1226863,360533,124865,32329,28609,44667,19261,235667,90809,38907,26960,78992,866331,834533,286031,184252,41000,45161,80621,90482,106987,31798,134065,102267,36961,1912115,13.24,0,0,2.95,0
